代码,简称,公告标题,公告时间,公告
医院实现了原有设备系统的信息接口联调，打破了原有设备服务商垄断，促成医院新增设备采购，并成功
部署了中央站服务器和eGateway 服务器，为后续项目打下基础。凭借良好的团队服务与使用反馈，该院与
公司项目合作进一步加深，最终实现了近百万欧元的全院监护仪替换。 
目前，公司打造的“三瑞”智慧生态系统，以及全院级数智化整体解决方案能力，已经为公司构建起
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
29 
全新的生长模式。未来，结合差异化的方案营销优势，公司将在医疗服务、人才培养、运营管理、人文关
怀等多个维度，为全球客户的个性化需求定制数智化整体解决方案，助力全球医疗机构提升整体诊疗能力，
同时提高公司在全球高端客户群的渗透率和品牌粘性。 
 
（三）公司在海外市场高端客户群持续突破 
报告期内，凭借优质的产品质量和完善的服务，公司获取了大量的订单，监护、检验、超声产品和整
体解决方案进入了更多的高端医院、集团医院和大型连锁实验室，加快了在各国公立市场及高端客户群的
突破。报告期内，公司的国际战略客户贡献收入占国际市场销售比例达14%。 
在生命信息与支持领域，报告期内，公司突破了近40 家全新高端客户，除此以外，还有近130 家已
有高端客户实现了更多产品的横向突破。公司全新突破的高端客户包括澳大利亚排名第四的悉尼大学教学
医院皇家北岸医院、沙特阿拉伯新建私立高端康养中心Sukoon IEC、菲律宾国家心脏中心等。公司横向突
破的高端客户包括澳大利亚大型公立医院约翰亨特医院、巴西和南美洲最重要的医疗中心之一叙利亚黎巴
嫩医院、印度尼西亚望加锡最大的公立医院Dr. Wahidin 医院、隶属于乌兹别克斯坦最大私立医疗集团的
AKFA Mediline、摩洛哥私立医疗集团Akdital Group 等。 
在澳洲市场，迈瑞团队经过两年密切沟通与相互配合，凭借公司卓越的产品性能和整体解决方案优势，
历经4 周严苛的临床评估，最终赢得了皇家北岸医院专家们的高度认可，从与两大国际巨头品牌超高端麻
醉竞争中高质量胜出，实现了全部麻醉工作站和复苏室监护设备更新项目的独家全面中标。在约翰亨特医
院，公司曾赢得过该院的智能心电项目，凭借极佳的客户口碑，再次受邀参与该院大部分麻醉工作站和复
苏室监护设备更新项目竞标，并首次与某巨头品牌超高端麻醉机同台竞技。经过6 周全面的临床评估，专
家团高度认可迈瑞团队的专业性和围术期整体解决方案，使得公司在该项目中全面中标。报告期内，公司
在澳洲市场实现的项目突破起到了良好的区域窗口医院作用，有助于后续新增项目的推进。 
在发展中国家市场，迈瑞整体解决方案的优势不断扩大。在沙特阿拉伯新建私立高端康养中心Sukoon 
IEC，迈瑞团队通过深度沟通，对产品及“瑞智联M-Connect”IT 解决方案进行细致、专业的演示，超越两
家国际巨头品牌的监护仪和呼吸机，成功在该院实现空白突破。在印度尼西亚望加锡最大的公立医院Dr. 
Wahidin 医院新建项目中，迈瑞团队围绕渠道、营销、医院沟通等多方面发力，最终拿下该项目所有吊塔
系统和其他部分生命信息与支持产品。在摩洛哥某拥有12 家新建医院的私立医疗集团的项目招标中，迈
瑞团队将产品与临床评估、“瑞智联M-Connect”IT 解决方案相结合，为该医院未来设备升级建设提供了
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
30 
可行性方案，在与其他品牌竞争的过程中，维持了一贯的价格水平，最终赢得订单。 
在体外诊断领域，成为全球化发展的医疗器械公司一直是迈瑞坚定不移的战略目标，而体外诊断业务
的国际化拓展是实现这一目标的重要任务。报告期内，公司突破了近140 家全新高端客户，除此以外，还
有近60 家已有高端客户实现了更多产品的横向突破，涵盖多国教学医院、大型公立集中化医院，及部分
当地顶级教学医院/大型实验室等，包括阿尔及利亚安纳巴的公立大学教学医院、摩洛哥TOP 2 国家级公
立大学教学医院、科威特隶属于MOH 公立医院暨中东最大的癌症控制中心、阿联酋唯一顶级教学医院沙
迦大学医院。迈瑞突出且稳定的产品质量和快速响应的售后服务深受用户认可。 
更重要的是，公司在报告期内突破的近200 家高端客户中，还包括61 家第三方连锁实验室，如法国
拥有31 家分支机构的私立连锁实验室Unibio、欧洲TOP 2 的连锁实验室Cerba 集团、希腊排名前8 的连
锁实验室Euromedica、西班牙排名第一的连锁实验室Analiza、阿根廷最大的私立连锁实验室Centralab、
拉丁美洲TOP 5 的私人诊所智利Clínica Alemana 临床中心、智利覆盖范围最大的私立连锁医疗机构
RedSalud、墨西哥TOP 5 的私立连锁实验室Micro-Tec、KPJ 医疗集团旗下马来西亚最大的私立医院实验
室Lablink等各国头部连锁实验室集团。体外诊断业务海外高端连锁实验室成批量突破的势头依然在持续。 
在法国，迈瑞团队与当地拥有31 家分支机构的私立连锁实验室Unibio 进行了多年细致地沟通，凭借
便捷高效的“一管血”解决方案赢得客户青睐，并为客户后续进一步降本增效提供设备方案支持，最终首
次在法国本土实验室实现突破，在竞争对手的样板实验室实现装机。 
在阿根廷，迈瑞团队深入沟通，精准把握客户需求，以血球产品为敲门砖，展示迈瑞检验产品整体解
决方案。通过邀请专家交流、重点拜访，从战略层面分享公司发展及产品实力，逐步打消客户疑虑，在该
国最大的私立连锁实验室Centralab 实现多产品空白突破，为该机构后续新建中央实验室更多产品突破打
下基础，并将成为公司在拉美的重点样板实验室。 
在欧洲排名第二的连锁实验室Cerba 集团，迈瑞团队凭借前期经验和良好的用户口碑，进一步与对方
加强、扩大合作内容，成功拿下该集团意大利市场共计17 个实验室血球产品的横向突破，并为之后意大
利中心实验室及法国地区实验室的血球产品突破打下更加坚实的基础。 
在医学影像领域，报告期内，公司突破了近60 家全新高端客户，除此以外，还有超过40 家已有高端
客户实现了更多产品的横向突破。公司突破的高端客户包括智利最大的私立医院集团RedSalud、澳大利亚
拥有22 家分支的影像中心集团Carlisle Group、阿曼苏丹国最大的高端公立医院皇家医院、泰国第二大教
学医院朱拉隆功国王纪念医院、巴基斯坦阿迦汗大学医院等。 
在智利最大的私立医院集团RedSalud，迈瑞团队充分协同配合，通过多次拜访，细致了解了客户对于
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
31 
新技术开展的需求，组织并推动医院放射科参加公司在巴西举办的“M-ELITE”临床技术培训，充分赢得
了客户对迈瑞产品、专业度的认可与信任，最终在该集团实现空白突破。 
在澳大利亚拥有22 家分支的影像中心集团Carlisle Group，迈瑞团队结合客户需求痛点，以Resona 9
系列产品在全身应用的均衡图像表现，利用“瑞影云++”解决方案为客户提供远程协助互联，帮助其实现
了在各分中心的超声实时远程诊疗及质控，实现远程教育培训，最终实现了装机突破。 
在阿曼苏丹国最大的高端公立医院皇家医院，迈瑞团队紧密配合，通过持续拜访当地卫生部，挖掘客
户需求，从客户最为关注的学科建设和科室培训需求着手，加强客户与国内顶级医院的深入交流，学习国
内先进的介入治疗技术；通过中东区域专家在当地陆续举办多场基础培训，获得了该院放射科的一致认可
与高度评价，实现了多台设备装机。 
在国际重点战略客户拓展方面，报告期内，迈瑞团队通过横向挖掘和纵向拓展，发挥三大业务领域丰
富的产品组合优势和“三瑞”生态解决方案的数智化能力，产线间协同互补进一步加强，持续突破重点大
客户，尤其是高端产品的突破取得重大成果，并建立了全球级、区域级、国家级的窗口医院，为公司后续
国际市场的开拓和全球领先医疗器械品牌的建立奠定了良好的基础。 
报告期内，公司在大型高端客户公立教学医院和私立医疗集团、跨国医疗集团上持续取得突破。在澳
大利亚新南威尔士州的大型教学医院悉尼利物浦医院扩建项目中，迈瑞团队凭借优质的产品表现和整体解
决方案，实现了生命信息与支持和医学影像双线设备的空白突破。在墨西哥最大的私立医院集团天使医院
集团，迈瑞团队通过前期良好的服务，得到了客户的高度认可，再次赢得了超过300 台监护设备订单。在
亚洲最大的私立医疗保健集团新加坡IHH 医疗集团，迈瑞团队实现了该集团下属土耳其等国家新建医院项
目全线产品突破。 
在北美，公司持续增加对大型高端客户IDN 医联体的覆盖与突破。截至报告期末，公司在美国已覆盖
超过八成的IDN 医联体。基于在产品易用性、临床工作流程、售后服务等方面得到了客户的高度认可，报
告期内，公司赢过某巨头品牌，分别与IDN 排名前十的医疗机构、美国最大的外科中心运营机构签订独家
供应协议，预计未来三年将持续交付数量较大的设备订单。凭借领先的人工智能工具、无线探头、无线充
电、图像和工作流程，公司成功获得在美国31 个州拥有60 家社区急症护理医院的IDN 医疗机构其中21
家医院的超声替换项目，也是公司在美国市场迄今最大的直销订单，并为后续更多产品的横向突破打下基
础。 
此外，公司在印度尼西亚、巴西、西班牙、土耳其、瑞典、澳大利亚等国家的重点战略客户开拓也在
报告期内取得了重要进展，在欧洲、亚洲、拉丁美洲多国政府机构集采项目中取得持续突破，并建立了西
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
32 
班牙康普顿斯大学附属十月十二日医院等区域窗口医院标杆。 
 
（四）公司坚持自主创新，产品技术持续丰富迭代 
自主创新是迈瑞医疗的初心，也是驱动公司发展的基本战略。目前，公司已建立起基于全球资源配置
的研发创新平台，具有强大的产品工程化和系统集成能力，设有十二大研发中心，共有4,897 名研发工程
师，分布在深圳、武汉、南京、北京、西安、成都、杭州、美国硅谷、美国新泽西、美国明尼苏达、芬兰
海肽和德国德赛。报告期内，武汉研究院项目的建设工作进展顺利，拟建成公司第二大研发中心。 
公司建有多个国际领先的研发专业实验室，包括可靠性、标准化、电源、参数、气体、探头、热力学
等专项技术实验室，其中可靠性实验室和标准化实验室获得了中国合格评定国家认可委员会（CNAS）认
可，可靠性检测实验室还通过了Intertek、SGS、TÜV 南德等国际第三方机构的认可。 
公司于2016 年通过知识产权管理体系认证，建立了良好的全球知识产权保护体系，为公司产品在全
球市场销售提供了良好基础。截至2024 年6 月30 日，公司共计申请专利11,128 件，其中发明专利7,958
件；共计授权专利5,386 件，其中发明专利授权2,614 件。 
报告期内，公司继续保持高研发投入，研发投入193,965.46 万元，占同期营业收入的比重达9.45%，
产品不断丰富，技术持续迭代，尤其高端产品不断实现突破。 
 
1、在生命信息与支持领域 
（1）公司推出的新产品包括： 
报告期内，公司在生命信息与支持领域推出了瑞智重症决策辅助系统、A3/A1麻醉系统、4K三维电
子胸腹腔内窥镜系统、腔镜吻合器、AniFM I1动物输液泵、Veta 3X动物专用麻醉机、TMS30 Vet动物遥
测监护系统、Veta5 Plus动物专用麻醉机等新产品和解决方案。 
（2）公司开展的底层技术创新包括： 
1）移动穿戴监护mWear。基于多参数融合分析与加速度计的生理参数优化两大核心专利技术，通过
算法融合实现参数间的同步分析，从而提升生理参数分析结果的准确性，有效减少误报警和漏报的情况，
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
33 
改善医护报警疲劳；利用加速度计，识别患者姿态和运动状态，与生理信号进行深度融合，提升生理参数
分析的准确性，更充分地满足移动场景需求。同时，针对院内无线复杂场景，mWear 使用多无线技术
（WMTS/WIFI+BLE+NFC）联合调度算法，在移动过程中遇到信号大衰落或某个无线传输故障。mWear 也
可以无缝切换到其它可靠的无线技术进行实时传输，满足移动监护的稳定可靠。 
2）全新一代4K 荧光内窥镜摄像系统。产品功能及图像性能全面升级，达到行业一流水平。白光图像
方面，全视野亮度均衡管理算法技术，可对图像局部过曝及远景过暗进行有效抑制，以保持腔镜视野整体
的明亮。荧光图像方面，全链路的荧光光学性能、硬件性能和荧光信号处理算法等技术升级，保持荧光图
像对距离、角度变化的稳定性，保证显影区域在术中始终清晰可辨，辅助医生实现精准治疗。自动对焦功
能保证医生术中画面始终清晰锐利；自动调光功能完美保护组织避免近距离灼伤；支持多模态图像融合功
能，实现腔镜图像与超声图像的同屏融合显示，提升临床手术效率及易用性，提升手术治疗的精确性。 
3）3D 荧光摄像系统。超高清3D 荧光内窥镜系统，产品功能及图像性能对标业界顶尖产品，实现国
内引领。白光图像方面，双目3D 模组创新光学设计与布局，集合4K 图像传感器与业内最大的基线距离，
带来了超高清4K 清晰度与沉浸式立体感。荧光图像方面，集成全链路荧光效率分析与创新荧光图像采集
与处理算法，保持荧光图像对距离、角度变化的稳定性，同时实现了荧光成像叠加3D 成像技术，提升了
医生手术效率，辅助医生实现精准手术治疗。3D 自动回正功能解决了电子镜旋转时定位基准丢失的问题，
临床易用性大大提升。 
4）吻合器。国内首创预压榨辅助成钉技术（定销轴旋转&套管闭合）和ASFT（Adaptive Smart Firing 
Technology）自适应智能击发控制算法。“预压榨辅助成钉技术”极大提高了吻合钉对位精度，有效降低
了组织滑移对成钉的影响。“ASFT 自适应智能击发控制算法”在整个击发过程中可根据钳口组织厚薄自
动调整击发速度、压榨时间，提升临床应用中厚组织及不均匀组织成钉质量。可分离鹰嘴设计采用所见即
所得的QDA（Quick disassembly and assembly）设计，一步实现钳口与鹰嘴快速拆装，通过配置多种角度
规格鹰嘴，可以实现一把吻合器适用多种临床场景的应用，降低临床应用成本。 
5）高频智能双极。突破智能双极算法技术，在智能双极激发过程中实现实时监测组织状态变化，感知
临床操作场景。通过匹配最优控制算法，既能实现7mm 大血管和厚组织的可靠凝闭，又能对出血点进行
快速深度凝闭，并在凝闭最佳状态自动结束能量输出，避免组织损伤。双极器械突破了单一凝闭功能设计，
兼具抓持和分离功能，可减少术中器械更换，提高手术效率。钳头采用纳米复合涂层，能有效减少组织粘
连，保证凝血效果。手柄采用了行业领先的枪式设计，长时间握持感受更加舒适，激发更加便捷，更好地
缓解了术者长时间使用器械的疲劳感。
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
34 
（3）公司开展的融合创新包括： 
1）院前除颤监护一体化解决方案。作为新一代的除颤监护产品系列，兼顾院内与院前需求，创新性地
进行了多功能的产品融合。通过创新性的高压动态变载技术、超高压平面PCB 变压器集成等技术，打造了
新一代的除颤高压技术。除颤主机融合N1 监护仪，既可合并使用，也可单独工作。在入院交接时，可以
通过N1 监护仪无缝转移数据到院内监护系统中。创新性地融合了高分辨率相控阵探头，易于携带，易于
在院前进行患者的超声检查。开发超声操作指引功能以及5G 远程发送功能，实现院内院前的超声数据整
合以及远程指导功能。通过NFC 功能集成了迈瑞自研的红外耳温功能，可以快速实现院前体温检查并自
动融合到数据系统中。 
系统通过5G 接入迈瑞“瑞智联”系统，实现院前院内数据互联互通。针对急诊急救现场多病种和复
杂环境，通过多设备融合，打造专业易用的临床应用，让多学科合作，实现急诊急救现场高质量的全方位
诊疗和监测；通过信息化互联，实现全场景一体化急救，提升急救服务运行效率。 
图：院前除颤监护一体化解决方案 
 
2）智能人机同步技术。该技术可根据多维度呼吸波形形态特征智能识别病人自主呼吸状态，自动配合
病人呼吸节律进行通气，提高患者人机同步性。其中，IntelliCycle™同步增强技术应用于重症领域，公司
已发布的SV 系列重症呼吸机搭载了该技术；EasySync™同步增强技术应用于无创通气领域，公司已发布
的SV70 无创呼吸机、NB350 新生儿无创呼吸机均搭载了该技术。 
在2022 年工信部人工智能医疗器械揭榜项目中，公司的《重症智能呼吸机及其辅助决策系统》成功入
围。此项目将联合北京协和医院、四川大学华西医院、南京东南大学附属中大医院等国内顶级医院，共同
进一步深入研究AI 技术在医疗设备中的应用。
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
35 
3）呼吸机集成模块化电阻抗成像（EIT）技术。EIT 技术可以反映病人二维的通气分布信息，较传统
呼吸机单一的呼吸力学信息能够直观反映病人肺部的异质性，为临床治疗决策提供更加完善的信息。迈瑞
呼吸机集成模块化EIT 技术，通过呼吸力学和影像学的技术融合，实现1+1＞2 的效果，推出自动化PEEP
滴定工具，可以实时分析肺通气时过度膨胀、剪切和塌陷等状态以及定量评估不同肺区域的开放压大小，
进而可以定量评估患者肺状态，并指导通气参数的设置，支持个体化精准机械通气治疗。 
图：呼吸机集成胸部电阻抗（EIT）成像功能 
 
4）通气策略评估功能。该技术发挥迈瑞“瑞智联”生态优势，通过呼吸机、监护仪、检验等病人多维
度的病理和生理参数进行智能辅助决策，辅助医护人员判断机械通气病人脱机成功率；解决目前临床上，
特别是基层医院在脱机时机判断上的痛点，避免提前脱机导致的病人重插管或者延迟脱机导致的病人膈肌
功能障碍以及医疗资源的浪费。 
图：通气策略评估功能
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
36 
5）全场景一体化急诊解决方案。通过模块化集成理念设计的模块化转运呼吸机和模块化除颤仪，有效
融合急诊转运流程的多设备物理结构和数据流，构建了业内最完整的急诊急救生态圈。通过物理融合，在
院前急救场景实现了除颤仪集成超声、心电图机、耳温枪和心电，在急诊转运场景实现了呼吸机集成监护
仪、并提供输注泵和氧气瓶一体化转运的解决方案，为医护人员提供更高效的诊疗工具。通过数据融合，
打通从院前急救→入院交接→急诊转运全急救流程的数据流，让整个流程更高效、数据更完整。融合使得
迈瑞全场景一体化急诊解决方案不是单产品的简单堆叠，而是充分发挥产品与产品、产品与IT 的协同优
势，形成强大战斗力的“航母战斗群”。 
这不仅是急诊急救核心单产品的匠心打磨，更是急救生态圈全场景一体化急诊解决方案的创新突破。
团队以“融合创新”理念为牵引，创新性地提出并实现了“物理、数据、方案”三维融合方案，打造国内
顶尖的学术窗口，首创开展融合价值推广，构建了业界集成度最高的全场景一体化急诊解决方案。 
图：基于急诊转运场景的多设备物理融合 
 
 
图：基于急救工作流程的数据融合
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
37 
2、在体外诊断领域 
（1）公司推出的新产品包括： 
为了支撑体外诊断业务未来可持续的高速增长，公司不断加大该业务领域的研发投入力度，并于报告
期内推出了CL-2600i 全自动化学发光免疫分析仪、BS-1000M 全自动生化分析仪、M680 全自动生化免疫
流水线、异常凝血酶原（PIVKA-II）测定试剂盒、巨细胞病毒IgG 抗体亲合力检测试剂盒、弓形虫IgG 抗
体亲合力检测试剂盒、胃泌素17（G-17）测定试剂盒、BC-20 Vet 动物专用全自动血液细胞分析仪等新产
品，这些重磅产品的推出将成为助力体外诊断业务延续高速增长的坚实基础。 
（2）公司开展的底层技术创新包括： 
1）心肌标志物。通过将迈瑞技术与海肽生物技术融合，公司开发出了行业领先水平的心脏标记物产品
高敏肌钙蛋白（hs-TNI）和氨基末端脑利钠肽前体（NT-pro BNP），满足了临床及检验对心血管疾病全病
程管理的需求。从创新的抗体设计，检测模式的设计，到系统化整合和开发，实现了产品检测灵敏度和精
密度的双料提升。在对产品分析性能进行深度打磨的基础上，迈瑞协同全球顶级医疗机构针对标记物在急
性冠状动脉综合征和心衰领域的优化应用不断开展深入研究，完善了标志物在特殊人群和疾病的浓度分布、
全龄人群参考范围的研究，以及0-2 小时快速分诊流程的研究，满足了临床诊疗过程中安全排除无风险、
并精准聚焦医疗资源的核心诉求。 
2）促甲状腺激素标志物。促甲状腺激素（TSH）是甲状腺功能检测的一线指标，公司创新研究的抗干
扰技术，对核心原材料、配方、工艺、反应参数及系统整合进行全新设计，使得新一代促甲状腺激素测定
试剂盒的检测灵敏度、精密度和抗干扰能力达到世界一流水平，为临床针对不同年龄、不同科室的人群提
供更加精准的诊疗。 
3）高血压标志物。采用全新的原材料设计检测模式，公司开发出了行业领先的第二代高血压标志物产
品：醛固酮（ALD）测定试剂盒和肾素（Renin）测定试剂盒。该检测模式显著提升了醛固酮检测试剂的灵
敏度和特异性，实现了对肾素产品样本中肾素蛋白的精确检测，能够更好地满足临床对原发性醛固酮增多
症患者的筛查、确诊需求，助力精准诊疗。其中，新一代醛固酮（ALD）创新使用识别抗原抗体复合物的
新型抗体，实现单一位点夹心的检测模式，改善了小分子竞争法检测模式的缺陷，大幅提升分析性能，为
临床中小分子免疫检测提供更优解决方案。 
4）B 细胞克隆直接制备单抗技术。该技术无需进行杂交瘤细胞融合步骤，直接从生物体分离获取B 细
胞进行单抗开发工作。即通过对B 细胞分选和单细胞基因测序，获取所需特异B 细胞内的抗体基因，使用
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
38 
蛋白重组表达技术得到所需单克隆抗体。一方面，与杂交瘤相比，B 细胞活力高、克隆更稳定；另一方面，
不同于单个B 细胞测序技术，该直接克隆技术方法更简便高效、选择性强。目前，该技术平台已开发出源
于不同动物种属的单抗原料。 
5）新型炎症标志物。可溶性白细胞分化抗原14 亚型（sCD14-ST）是细菌感染的直接标志物，在感染
早期显著升高，是感染早期诊断标志物。sCD14-ST 特异性好，不易受手术、创伤和器官功能等非感染因素
影响。sCD14-ST 检测试剂的核心原材料为迈瑞自主研发，对抗原表位和抗体序列申请了专利保护。此外，
试剂采用单克隆抗体，具有更好的特异性和批次稳定性。 
6）高速、多平面、多景深图像融合技术。迈瑞研发“十年磨一剑”，致力于高速、高清、高通量显微
成像系统的底层材料、结构、工艺、算法的创新，开发出了行业领先的精密运动控制系统和图像融合技术，
实现了在微米级的高速多平面、多景深连拍，捕捉并还原拍摄对象的微观结构，并通过算法融合成一张清
晰、细腻图像，结合深度定制的颜色映射系统，还原显微镜下的真实观感，精准捕捉能反应各类病理特征
的细胞等微观粒子要素，有助于判断各类异常，及时筛查各类异常疾病。该技术已经应用在迈瑞血液、尿
液形态学系列分析仪中。 
7）定频恒反应技术。传统凝血仪仪器与试剂独立开发，没有检测系统设计体系，参数流程建立长久，
后期更换研发成本高，影响巨大。迈瑞充分发挥检测系统研发优势，从顶层拉通仪器和试剂，协同开发，
对影响检测性能的边界条件进行大量的摸底、调试、测试和验证，确保检测结果精准前提下重新构建最佳
测试流程。同时，配合多模态即热技术，独创“自适应温度控制算法”，真正做到对试剂预热温度的快速、
精准控制；试剂空中加油技术，保障试剂耗材添加不停机、不降速。通过诸多技术突破，真正让凝血检验
进入“恒速”时代，助力检验TAT 要求。 
（3）公司开展的融合创新包括： 
1）MT 8000 全实验室智能化流水线。该款智能化流水线由迈瑞全自主研发，具有极致坪效比、智慧易
用、多学科融合等核心价值，从检测质量、工作效率、学科建设等全方位赋能检验学科、助力检验科室的
更新迭代；通过灵活的4 轨道，单轨处理通量高达3,600 管/小时；生化免疫设备与轨道直连，无需样本移
载模块，实现样本全程单管直通，样本进入分析仪的时间由原来的1 分钟骤降至1 秒，从容面对超大样本
量挑战，实现超高空间利用；支持智能识别样本质量，识别异常样本并自动做关联处理，实现检验过程中
动态互联、动态平衡；在精准把控样本质量的同时，避免分析仪做额外的血清指数检测，减少了医疗资源
浪费；支持多学科（生化、免疫、凝血、血球等）设备连接，促进更多专业联合检测，也构建了一个跨学
科的自动审核平台；搭载机器视觉、NN-PBRTQC、PDR 光测平台、VU-Mix 涡旋-超声混匀、PBRTQC 等
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
39 
创新技术，帮助客户提高诊断的准确性和治疗的有效性，推动医院医疗服务的高质量发展。 
图：MT 8000 全实验室智能化流水线 
 
2）M980 全自动生化免疫流水线。该化免流水线具有一机四检、安全护航、精准可靠三大核心价值，
从工作效率、生物安全、检测质量等方面助力国内和国际广大中小型实验室高质量发展。该解决方案通过
生化免疫模块直联技术，实现BS-1000M 与CL-2600i 的模块互联，达到一机四检的高效集成效果；通过自
动去盖以及内置的紫外消毒功能，能够有效降低生物安全风险；同时，集成迈瑞检测系统技术平台的一系
列高端技术，如PDR 光测平台、FS-Sampling 等新技术，有效保障结果的高度精准可靠。M680 全自动生
化免疫流水线与M980 采用同样的模块直联技术，实现BS-600M 与CL-2600i 的模块互联。 
3）BC-700 系列全自动血细胞分析仪。迈瑞致力于全面提升测试和诊断方面的质量与标准，创新研发
的小型荧光血液分析仪，在确保检验设备的测试效率和可靠性的同时，更加关注易用性和售后管理成本，
从而让尽可能多的人可以从中受益；通过技术创新（相关技术已申请40 余项专利），实现更小微粒子的识
别能力，让DIFF 通道Ghost 血影区的粒子信号变废为宝，实现常规分析模式下，零成本检测光学血小板；
同时应用创新的血沉检测技术，将高额全自动血沉仪以模块化集成在血球仪上，高效检测的同时降低检测
成本。该技术综合了聚集速度与程度双重指标，检测全程恒温温控设计，结果与魏氏法相关性好，用血量
不足传统魏氏法的10%。技术可以实现一次采血，一次签收，一次上样，即可全自动分析、整合、报告血
常规、CRP、SAA、ESR 全部参数，易用且高效；此外，新手客户可通过仪器主界面的ihelp 或“视频指
导”选项自行学习仪器操作，轻松上手检验工作，节省客户与临床应用人员的沟通成本。另外，常见仪器
故障也可通过视频指导选项进入查看处理方法，节省客户与用服人员之间的沟通成本和到场处理维护的成
本。 
4）EU 8600 系列流水线和EU-Pro 系列一体机。随着医疗设备各类技术的突破，检验科各类设备的自
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
40 
动化程度也日益完善。但是尿液常规分析过程中需要人工镜检的比率仍旧居高不下。问题的根本就在于行
业内无法突破尿液分析中高清晰、高统计、高速度和精准粒子图像分类。由于迈瑞血球流水线在轨道和图
像技术方面有着深厚的技术积累和沉淀，技术上的直接嫁接使得尿液全线产品仅需一个放置试管架的动作，
仪器即可全自动完成启动进样、条码信息录入、吸样、尿干化学分析、有形成分分析、红细胞位相分析等
一系列动作。对触犯规则的异常样本可全自动执行精密模式下高倍统计量分析，干化学与有形成分结果更
一致。尿红细胞亚型分类高达14 种，异形红细胞率与红细胞形态变异信息结果可快速精准辅助诊断血尿
来源。最终，因为仪器可以自动化完成各类分析，图像的清晰度和分辨率与显微镜下形态一致，满足在屏
幕上人工审核的专家共识要求，从而大幅降低人工镜检率。EU 8600 系列流水线和EU-Pro 系列一体机功能
三合一体，带给客户“清晰一致，从容审核”的最佳实验室尿检工作体验。 
5）C·Lab Bridge 专家解读系统。当前检验科的工作重心不仅在“标本检测结果准确”，还需要“以
患者为中心”，具备同临床沟通的能力。迈瑞凝血首创C·Lab Bridge 专家解读系统，融合样本状态分析、
结果分析、处理建议、案例学习等功能于一身，搭载“可生长的案例数据库”，打造凝血检验科的智慧服
务系统，助力凝血检验的高质高效发展。 
6）血液分析流水线“一管通”解决方案。流水线通过“一管血”即可灵活联检血常规、CRP、SAA、
ESR、PCT、IL-6、HbA1c、肺支IgM\IgG 等多个项目，在形成炎症自动化解决方案的同时，还通过针对咽
拭子样本的进样方式创新，降低生物安全风险，实现了甲乙流等呼吸道病原体的快检方案。此外，通过搭
载TM-1000 全自动样品处理系统和CR-30[H]浓缩试剂稀释仪，实现了“倾倒上样”、“自动签收”、“自
动归档”等全新自动化体验，做到了检测前、中、后全流程自动化样本管理。 
图：血液分析流水线“一管通”解决方案 
 
7）迈瑞智检-区检方案。从2015 年国家提出医联体建设，到2023 年明确医共体建设目标，整合医疗
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
41 
资源推动检验结果互认已成为中国医疗改革的核心议题。迈瑞通过“设备+IT+AI”的整合，帮助医共体构
建一个强中心、夯基层、上下联、信息通的检验均质化整体方案。迈瑞智检-区检方案依托迈瑞8 大检验专
业、170 多款机型，全面满足各层级医疗单位需求。信息化管理支持从单中心到多中心部署，适应不同医
疗组合的个性化需求，落地灵活。区检方案中的区域质量管理系统包括“质控中心、质控评价、质控管理”
三大模块，遵循结果互认管理办法要求，实现了基层医疗机构的质量同质化全流程闭环管理。区检方案中
的“瑞智学”系统有效解决疑难报告求助难、人才培养考核难的问题，实现人员能力的均质化提升。区检
方案中的试剂管理系统实现了科室内试剂耗材的精细化管理。迈瑞智检-区检方案通过融合人工智能、大数
据、物联网、云服务等创新技术，打破信息孤岛困境，提高区域检验运营管理效率，实现区域检验质量与
人员能力均质化提升，助力高质量检验结果互认，提升医疗服务满意度。 
图：迈瑞智检-区检方案 
 
 
3、在医学影像领域 
（1）公司推出的新产品包括： 
报告期内，公司在医学影像领域主要推出了中高端台式超声Resona/Nuewa I9 精英版、中高端台式超
声Resona/Nuewa I8、Vetus 80 动物专用台式彩超、Vetus Nova 动物专用台式彩超、VetiPad 系列平板与软
件升级方案等重磅新产品及解决方案。 
（2）公司开展的底层技术创新包括： 
1）无线探头技术。该技术针对复杂多变的超声成像数据量大、实时性要求高、既往数据仅能通过有线
探头实现的技术难关，突破了声学增压、多阶增强波束合成和数据增压传输等多项技术难关，使得声能接
深圳迈瑞生物医疗电子股份有限公司2024 年半年度报告 
42 
收和转换更为高效，并以最优能耗提升波束合成效能，实现大数据量无线传输效率，为用户带来专业诊断
